city,lat,lon
London,51.5074,-0.1278
Paris,48.8566,2.3522
Tokyo,35.6895,139.6917
Washington_DC,38.8951,-77.0364
Cairo,30.0444,31.2357
Berlin,52.5200,13.4050
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Athens,37.9838,23.7275
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Warsaw,52.2297,21.0122
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Copenhagen,55.6761,12.5683
Helsinki,60.1695,24.9354
Lisbon,38.7223,-9.1393
Dublin,53.3498,-6.2603
New_York,40.7128,-74.0060
Los_Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Toronto,43.6532,-79.3832
Mexico_City,19.4326,-99.1332
Sao_Paulo,-23.5505,-46.6333
Buenos_Aires,-34.6037,-58.3816
Rio_de_Janeiro,-22.9068,-43.1729
Lima,-12.0464,-77.0428
Bogota,4.7110,-74.0721
Santiago,-33.4489,-70.6693
Beijing,39.9042,116.4074
Shanghai,31.2304,121.4737
Mumbai,19.0760,72.8777
Delhi,28.6139,77.2090
Seoul,37.5665,126.9780
Bangkok,13.7563,100.5018
Singapore,1.3521,103.8198
Jakarta,-6.2088,106.8456
Manila,14.5995,120.9842
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Auckland,-36.8485,174.7633
Johannesburg,-26.2041,28.0473
Nairobi,-1.2921,36.8219
Lagos,6.5244,3.3792
Cape_Town,-33.9249,18.4241
Dubai,25.2048,55.2708
Istanbul,41.0082,28.9784
Moscow,55.7558,37.6173
Berlin,52.5200,13.4050
Madrid,40.4168,-3.7038
Rome,41.9028,12.4964
Athens,37.9838,23.7275
Amsterdam,52.3676,4.9041
Brussels,50.8503,4.3517
Vienna,48.2082,16.3738
Prague,50.0755,14.4378
Warsaw,52.2297,21.0122
Stockholm,59.3293,18.0686
Oslo,59.9139,10.7522
Copenhagen,55.6761,12.5683
Helsinki,60.1695,24.9354
Lisbon,38.7223,-9.1393
Dublin,53.3498,-6.2603
New_York,40.7128,-74.0060
Los_Angeles,34.0522,-118.2437
Chicago,41.8781,-87.6298
Toronto,43.6532,-79.3832
Mexico_City,19.4326,-99.1332
Sao_Paulo,-23.5505,-46.6333
Buenos_Aires,-34.6037,-58.3816
Rio_de_Janeiro,-22.9068,-43.1729
Lima,-12.0464,-77.0428
Bogota,4.7110,-74.0721
Santiago,-33.4489,-70.6693
Beijing,39.9042,116.4074
Shanghai,31.2304,121.4737
Mumbai,19.0760,72.8777
Delhi,28.6139,77.2090
Seoul,37.5665,126.9780
Bangkok,13.7563,100.5018
Singapore,1.3521,103.8198
Jakarta,-6.2088,106.8456
Manila,14.5995,120.9842
Sydney,-33.8688,151.2093
Melbourne,-37.8136,144.9631
Auckland,-36.8485,174.7633
Johannesburg,-26.2041,28.0473
Nairobi,-1.2921,36.8219
Lagos,6.5244,3.3792
Cape_Town,-33.9249,18.4241
Dubai,25.2048,55.2708
Istanbul,41.0082,28.9784
Moscow,55.7558,37.6173
Kiev,50.4501,30.5234
Budapest,47.4979,19.0402
Bucharest,44.4268,26.1025
Munich,48.1351,11.5820
Milan,45.4642,9.1900
Barcelona,41.3851,2.1734
Zurich,47.3769,8.5417
Geneva,46.2044,6.1432
Reykjavik,64.1265,-21.8174
Tallinn,59.4370,24.7535
Riga,56.9496,24.1052
Vilnius,54.6872,25.2797
Sofia,42.6977,23.3219
Belgrade,44.7866,20.4489
Bratislava,48.1486,17.1077
San_Francisco,37.7749,-122.4194
Miami,25.7617,-80.1918
Houston,29.7604,-95.3698
Dallas,32.7767,-96.7970
Atlanta,33.7490,-84.3880
Boston,42.3601,-71.0589
Seattle,47.6062,-122.3321
Denver,39.7392,-104.9903
Vancouver,49.2827,-123.1207
Montreal,45.5017,-73.5673
Ottawa,45.4215,-75.6972
Panama_City,8.9824,-79.5199
Havana,23.1136,-82.3666
San_Jose,9.9281,-84.0907
Quito,-0.2170,-78.5046
Caracas,10.4806,-66.9036
